name	kingdom	phylum	class	order	family	genus	species
Otu1	na	na	na	na	na	na	Collinsella-aerofaciens
Otu2	na	na	na	na	na	na	Clostridium-hiranonis
Otu3	na	na	na	na	na	na	Clostridium-difficile
Otu4	na	na	na	na	na	na	Proteus-mirabilis
Otu5	na	na	na	na	na	na	Clostridium-scindens
Otu6	na	na	na	na	na	na	Ruminococcus-obeum
Otu7	na	na	na	na	na	na	Clostridium-ramosum
Otu8	na	na	na	na	na	na	Bacteroides-ovatus
Otu9	na	na	na	na	na	na	Akkermansia-muciniphila
Otu10	na	na	na	na	na	na	Parabacteroides-distasonis
Otu11	na	na	na	na	na	na	Bacteroides-fragilis
Otu12	na	na	na	na	na	na	Bifidobacterium-longum
Otu13	na	na	na	na	na	na	Bacteroides-vulgatus
Otu14	na	na	na	na	na	na	Enterococcus-faecalis
Otu15	na	na	na	na	na	na	Prevotella-melaninogenica
Otu16	na	na	na	na	na	na	Klebsiella-oxytoca
Otu17	na	na	na	na	na	na	Lactobacillus-fermentum
Otu18	na	na	na	na	na	na	Lactobacillus-reuteri
Otu19	na	na	na	na	na	na	Roseburia-hominis
Otu20	na	na	na	na	na	na	Staphylococcus-epidermidis
Otu21	na	na	na	na	na	na	Propionibacterium-acnes
Otu22	na	na	na	na	na	na	Escherichia-coli
Otu23	na	na	na	na	na	na	Streptococcus-mitis
